Molecule,TanimotoA,Canonical SMILES,Formula,MW,#Heavy atoms,#Aromatic heavy atoms,Fraction Csp3,#Rotatable bonds,#H-bond acceptors,#H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Silicos-IT Log P,Consensus Log P,ESOL Log S,ESOL Solubility (mg/ml),ESOL Solubility (mol/l),ESOL Class,Ali Log S,Ali Solubility (mg/ml),Ali Solubility (mol/l),Ali Class,Silicos-IT LogSw,Silicos-IT Solubility (mg/ml),Silicos-IT Solubility (mol/l),Silicos-IT class,GI absorption,BBB permeant,Pgp substrate,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,log Kp (cm/s),Lipinski #violations,Ghose #violations,Veber #violations,Egan #violations,Muegge #violations,Bioavailability Score,PAINS #alerts,Brenk #alerts,Leadlikeness #violations,Synthetic Accessibility
Molecule 1,0.042367182,FC1(F)CCNCC1.Cl,C5H10ClF2N,157.59,9,0,1,0,3,1,37.86,12.03,0,1.76,2.27,1.49,1.98,1.5,-1.93,1.87E+00,1.19E-02,Very soluble,-1.63,3.69E+00,2.34E-02,Very soluble,-1.82,2.39E+00,1.52E-02,Soluble,High,Yes,No,No,No,No,No,No,-6.01,0,3,0,0,2,0.55,0,0,1,1.15
Molecule 2,0.118688525,O=Cc1cn(nc1C)C,C6H8N2O,124.14,9,5,0.33,1,2,0,33.84,34.89,1.23,0.1,0.54,-0.25,0.9,0.5,-1.02,1.19E+01,9.6E-02,Very soluble,-0.39,5.08E+01,4.1E-01,Very soluble,-1.09,1.01E+01,8.15E-02,Soluble,High,Yes,No,No,No,No,No,No,-6.99,0,3,0,0,1,0.55,0,1,1,1.29
Molecule 3,0.046948357,CCC(=O)CC(=O)OC,C6H10O3,130.14,9,0,0.67,4,3,0,32.44,43.37,1.55,0.44,0.53,0.28,0.73,0.71,-0.66,2.85E+01,2.19E-01,Very soluble,-0.92,1.57E+01,1.21E-01,Very soluble,-1.06,1.12E+01,8.61E-02,Soluble,High,Yes,No,No,No,No,No,No,-6.78,0,3,0,0,1,0.55,0,1,1,1.36
Molecule 4,0.074697174,N#CCc1ccc(cc1)N,C8H8N2,132.16,10,6,0.12,1,1,1,40.37,49.81,1.13,1.16,1.34,1.12,1.41,1.23,-1.77,2.25E+00,1.71E-02,Very soluble,-1.8,2.09E+00,1.58E-02,Very soluble,-2.49,4.24E-01,3.21E-03,Soluble,High,Yes,No,Yes,No,No,No,No,-6.28,0,2,0,0,1,0.55,1,1,1,1
Molecule 5,0.144805195,COC(=O)Cc1cccn1C,C8H11NO2,153.18,11,5,0.38,3,2,0,41.56,31.23,1.99,0.49,0.74,0.44,0.97,0.93,-1.24,8.88E+00,5.8E-02,Very soluble,-0.72,2.95E+01,1.93E-01,Very soluble,-1.63,3.56E+00,2.32E-02,Soluble,High,Yes,No,No,No,No,No,No,-6.89,0,1,0,0,1,0.55,0,0,1,1.7
Molecule 6,0.098871931,Oc1ccc2c(c1)OCO2,C7H6O3,138.12,10,6,0.14,0,3,1,34.53,38.69,1.57,1.23,1.12,0.55,1.48,1.19,-1.92,1.68E+00,1.22E-02,Very soluble,-1.64,3.16E+00,2.29E-02,Very soluble,-1.55,3.93E+00,2.84E-02,Soluble,High,Yes,No,No,No,No,No,No,-6.27,0,3,0,0,1,0.55,0,0,1,2.27
Molecule 7,0.021709634,CCO/C=C/C#N,C5H7NO,97.12,7,0,0.4,2,2,0,26.51,33.02,1.71,0.56,1.06,-0.02,0.47,0.75,-0.66,2.11E+01,2.17E-01,Very soluble,-0.83,1.45E+01,1.49E-01,Very soluble,-0.5,3.04E+01,3.13E-01,Soluble,High,Yes,No,No,No,No,No,No,-6.49,0,3,0,0,1,0.55,0,2,1,2.37
Molecule 8,0.04040404,CCOC(=O)C(=O)N,C4H7NO3,117.1,8,0,0.5,3,3,1,25.53,69.39,0.98,-0.21,-0.97,-0.95,-0.72,-0.37,-0.24,6.81E+01,5.81E-01,Very soluble,-0.79,1.9E+01,1.62E-01,Very soluble,0.1,1.48E+02,1.26E+00,Soluble,High,No,No,No,No,No,No,No,-7.16,0,4,0,0,2,0.55,0,1,1,1.09
Molecule 9,0.030934768,[N-]=[N+]=CC(=O)OCC,C4H6N2O2,114.1,8,0,0.5,3,4,0,26.28,63.69,1.73,0.74,-0.15,-0.64,-0.98,0.14,-0.82,1.74E+01,1.53E-01,Very soluble,-1.66,2.52E+00,2.21E-02,Very soluble,-0.45,4.08E+01,3.57E-01,Soluble,High,No,No,No,No,No,No,No,-6.47,0,3,0,0,2,0.55,1,3,1,1.97
Molecule 10,0.051386072,O=Cc1ccc[nH]1,C5H5NO,95.1,7,5,0,1,1,1,26.18,32.86,0.96,0.51,0.83,-0.56,1.61,0.67,-1.21,5.82E+00,6.12E-02,Very soluble,-0.77,1.61E+01,1.7E-01,Very soluble,-1.47,3.24E+00,3.4E-02,Soluble,High,Yes,No,No,No,No,No,No,-6.52,0,3,0,0,1,0.55,0,1,1,1
Molecule 11,0.187100894,Cn1ncc(c1)B1OC(C(O1)(C)C)(C)C,C10H17BN2O2,208.07,15,5,0.7,1,3,0,59.96,36.28,0,1.22,0.72,0.3,0.29,0.51,-2.08,1.73E+00,8.33E-03,Soluble,-1.58,5.48E+00,2.64E-02,Very soluble,-2.4,8.23E-01,3.95E-03,Soluble,High,Yes,Yes,No,No,No,No,No,-6.7,0,0,0,0,0,0.55,0,1,1,2.81
Molecule 12,0.098469727,O=Cc1ccc(cc1)C1CCC1,C11H12O,160.21,12,6,0.36,2,1,0,49.1,17.07,2.13,2.71,2.77,2.3,3.33,2.65,-2.78,2.67E-01,1.66E-03,Soluble,-2.72,3.04E-01,1.9E-03,Soluble,-3.21,9.83E-02,6.14E-04,Soluble,High,Yes,No,No,No,No,No,No,-5.35,0,0,0,0,2,0.55,0,1,1,1.13
Molecule 13,0.161745828,COc1c(F)cccc1B(O)O,C7H8BFO3,169.95,12,6,0.14,2,4,2,42.72,49.69,0,0.9,-0.07,0.43,-0.32,0.19,-1.7,3.4E+00,2E-02,Very soluble,-1.53,5.03E+00,2.96E-02,Very soluble,-1.69,3.48E+00,2.05E-02,Soluble,High,No,No,No,No,No,No,No,-6.7,0,0,0,0,1,0.55,0,1,1,1.95
Molecule 14,0.152005175,FC(COS(=O)(=O)c1ccc(cc1)C)(F)F,C9H9F3O3S,254.23,16,6,0.33,4,6,0,50.58,51.75,2.34,2.56,4.6,2.55,2.09,2.83,-3.04,2.31E-01,9.07E-04,Soluble,-3.29,1.29E-01,5.08E-04,Soluble,-3.75,4.56E-02,1.79E-04,Soluble,High,Yes,No,Yes,Yes,No,No,No,-6.03,0,0,0,0,0,0.55,0,1,0,2.29
Molecule 15,0.103078983,CCSc1ncc(cn1)C=O,C7H8N2OS,168.22,11,6,0.29,3,3,0,43.95,68.15,1.52,0.88,1.4,-0.08,1.86,1.12,-1.64,3.83E+00,2.28E-02,Very soluble,-1.9,2.14E+00,1.27E-02,Very soluble,-2.5,5.36E-01,3.18E-03,Soluble,High,Yes,No,No,No,No,No,No,-6.7,0,1,0,0,1,0.55,0,1,1,1.53
Molecule 16,0.140817651,COC(=O)CCc1cnc(s1)N,C7H10N2O2S,186.23,12,5,0.43,4,3,1,47.19,93.45,1.69,0.73,0.84,-0.07,1.82,1,-1.5,5.9E+00,3.17E-02,Very soluble,-2.27,9.97E-01,5.36E-03,Soluble,-1.82,2.81E+00,1.51E-02,Soluble,High,No,No,No,No,No,No,No,-6.92,0,0,0,0,1,0.55,0,0,1,2.49
Molecule 17,0.184713376,COC(=O)Cn1cc(cn1)C(=O)O,C7H8N2O4,184.15,13,5,0.29,4,5,1,41.35,81.42,0.9,-0.22,-0.25,-0.59,-0.52,-0.13,-0.86,2.52E+01,1.37E-01,Very soluble,-1.03,1.71E+01,9.27E-02,Very soluble,-0.27,1E+02,5.43E-01,Soluble,High,No,No,No,No,No,No,No,-7.58,0,0,0,0,1,0.56,0,0,1,2
Molecule 18,0.061620898,O=Nc1ccccn1,C5H4N2O,108.1,8,6,0,1,3,0,29.69,42.32,1.5,0.56,1.48,0.41,1.46,1.08,-1.35,4.81E+00,4.45E-02,Very soluble,-1.02,1.03E+01,9.53E-02,Very soluble,-1.91,1.33E+00,1.23E-02,Soluble,High,Yes,No,No,No,No,No,No,-6.56,0,3,0,0,1,0.55,0,0,1,1.42
Molecule 19,0.218671679,O=Cc1ccc(o1)c1ccc(cc1)S(=O)(=O)N,C11H9NO4S,251.26,17,11,0,3,5,1,60.53,98.75,0.75,1.01,2.49,-0.47,1.16,0.99,-2.31,1.22E+00,4.84E-03,Soluble,-2.67,5.33E-01,2.12E-03,Soluble,-3.65,5.65E-02,2.25E-04,Soluble,High,No,No,No,No,No,No,No,-7.12,0,0,0,0,0,0.55,0,1,0,2.71
Molecule 20,0.20012747,O=Cc1cc2ccccc2nc1Cl,C10H6ClNO,191.61,13,10,0,1,2,0,52.14,29.96,1.82,2.61,2.7,1.7,3.22,2.41,-3.18,1.28E-01,6.68E-04,Soluble,-2.89,2.48E-01,1.29E-03,Soluble,-4.27,1.03E-02,5.4E-05,Moderately soluble,High,Yes,No,Yes,No,No,No,No,-5.62,0,1,0,0,1,0.55,0,2,1,1.38
Molecule 21,0.150482315,O=C1/C(=C/c2ccncc2)/CC/C/1=C\c1ccncc1,C17H14N2O,262.31,20,12,0.12,2,3,0,79.05,42.85,2.25,2.38,3.09,1.66,4.06,2.69,-3.28,1.38E-01,5.28E-04,Soluble,-2.92,3.15E-01,1.2E-03,Soluble,-5.51,8.12E-04,3.1E-06,Moderately soluble,High,Yes,No,Yes,Yes,No,No,No,-6.21,0,0,0,0,0,0.55,1,1,0,2.65
Molecule 22,0.251243781,N#C/C(=C\c1ccc(cc1)OC)/C(=O)Nc1nccs1,C14H11N3O2S,285.32,20,11,0.07,5,4,1,77.09,103.25,2.06,3,2.4,0.61,3,2.21,-3.58,7.57E-02,2.65E-04,Soluble,-4.83,4.2E-03,1.47E-05,Moderately soluble,-4.11,2.21E-02,7.74E-05,Moderately soluble,High,No,No,Yes,Yes,Yes,No,No,-5.91,0,0,0,0,0,0.55,0,2,0,2.71
Molecule 23,0.156187955,N#Cc1ccc(cc1)NC(=O)/C=C/C(=O)O,C11H8N2O3,216.19,16,6,0,4,4,2,56.38,90.19,1.04,1.14,0.95,0.44,0.88,0.89,-1.91,2.65E+00,1.22E-02,Very soluble,-2.63,5.09E-01,2.35E-03,Soluble,-1.96,2.4E+00,1.11E-02,Soluble,High,No,No,No,No,No,No,No,-6.81,0,0,0,0,0,0.56,0,1,1,1.88
Molecule 24,0.17090216,CCOC(=O)/C(=C/c1ccco1)/C#N,C10H9NO3,191.18,14,5,0.2,4,4,0,49.06,63.23,2.11,2.02,1.64,0.03,1.68,1.5,-2.3,9.62E-01,5.03E-03,Soluble,-2.98,2.02E-01,1.06E-03,Soluble,-2.27,1.02E+00,5.36E-03,Soluble,High,Yes,No,Yes,No,No,No,No,-6.03,0,0,0,0,1,0.55,0,2,1,2.68
Molecule 25,0.17539267,COc1ccc(cc1)/C=C/C(=O)N1CCOCC1,C14H17NO3,247.29,18,6,0.36,4,3,0,73.04,38.77,2.78,1.41,1.08,1.05,2.34,1.73,-2.24,1.41E+00,5.7E-03,Soluble,-1.83,3.67E+00,1.48E-02,Very soluble,-2.75,4.35E-01,1.76E-03,Soluble,High,Yes,No,No,Yes,No,No,No,-6.81,0,0,0,0,0,0.55,0,1,1,2.34
Molecule 26,0.183673469,COc1ccc(cc1)/C=C/C(=O)N1CCCCC1,C15H19NO2,245.32,18,6,0.4,4,2,0,76.76,29.54,3.06,2.71,2.23,2.15,2.96,2.62,-3.05,2.18E-01,8.89E-04,Soluble,-2.98,2.55E-01,1.04E-03,Soluble,-3.29,1.25E-01,5.08E-04,Soluble,High,Yes,No,No,Yes,No,No,No,-5.87,0,0,0,0,0,0.55,0,1,1,2.12
Molecule 27,0.163015464,C#CCSc1ccccc1C(=O)O,C10H8O2S,192.23,13,6,0.1,3,2,1,52.9,62.6,1.78,2.07,2.19,2.74,2.29,2.21,-2.48,6.37E-01,3.32E-03,Soluble,-3.01,1.86E-01,9.69E-04,Soluble,-2.37,8.16E-01,4.25E-03,Soluble,High,Yes,No,No,No,No,No,No,-6,0,0,0,0,1,0.85,0,1,1,2.12
Molecule 28,0.108144192,O=C(/C=C/C(=O)N)NCc1ccccc1,C11H12N2O2,204.23,15,6,0.09,5,2,2,56.07,72.19,1.46,0.07,0.19,0.68,0.97,0.67,-1.12,1.56E+01,7.65E-02,Very soluble,-1.14,1.48E+01,7.25E-02,Very soluble,-2.49,6.64E-01,3.25E-03,Soluble,High,No,No,No,No,No,No,No,-7.5,0,0,0,0,0,0.55,0,1,1,1.62
Molecule 29,0.187866928,COc1ccccc1NC(=O)/C=C/C(=O)N,C11H12N2O3,220.22,16,6,0.09,5,3,2,59.29,81.42,1.7,-0.21,0.48,0.38,0.66,0.6,-1.02,2.1E+01,9.54E-02,Very soluble,-1.04,1.99E+01,9.06E-02,Very soluble,-2.21,1.35E+00,6.12E-03,Soluble,High,No,No,No,No,No,No,No,-7.79,0,0,0,0,0,0.55,0,1,1,1.95
Molecule 30,0.169435216,O=C(Nc1ccccc1Cl)/C=C/C(=O)N,C10H9ClN2O2,224.64,15,6,0,4,2,2,57.81,72.19,1.48,0.4,1.13,1.21,1.26,1.1,-1.52,6.83E+00,3.04E-02,Very soluble,-1.48,7.4E+00,3.29E-02,Very soluble,-2.7,4.47E-01,1.99E-03,Soluble,High,No,No,No,No,No,No,No,-7.39,0,0,0,0,0,0.55,0,1,1,1.9
